Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,co2_gasgebruik,co2_elek,co2_gebouwde_omg
Aa en Hunze,2017,197900,171900,52746,,51245,86166
Aalsmeer,2017,244500,244500,50028,105881,104183,
Aalten,2017,127400,127400,46738,47121,44332,69423
Achtkarspelen,2017,150000,150000,48105,64327,44623,66715
Alblasserdam,2017,147900,133600,27348,48087,60591,55535
Albrandswaard,2017,115100,110000,37524,,37059,66695
Alkmaar,2017,554800,551400,162909,,222808,300415
Almelo,2017,544300,493700,120702,149546,265697,220422
Almere,2017,801300,672800,226272,121059,324225,415207
Alphen aan den Rijn,2017,468200,434900,161904,156851,165426,279896
Alphen-Chaam,2017,66800,66800,20273,24349,19868,29777
Altena,2017,398300,308900,90533,94494,102780,133772
Ameland,2017,35100,35100,7329,13432,10975,22935
Amersfoort,2017,749300,574300,217656,207300,238978,419428
Amstelveen,2017,,,142976,,164158,
Amsterdam,2017,4382400,4090500,1097753,1387266,1959045,2918580
Apeldoorn,2017,1156200,879100,265229,348312,361620,544011
Arnhem,2017,928900,742700,232885,241809,306503,487788
Assen,2017,337600,291600,110088,116866,106799,202226
Asten,2017,256700,207400,29334,127917,52287,51537
Baarle-Nassau,2017,65600,65600,12632,,33799,22204
Baarn,2017,151200,114000,48982,50028,35473,79772
Barendrecht,2017,,,68604,,97526,132974
Barneveld,2017,468100,331500,90580,114282,138003,187674
Beek,2017,131900,91600,31081,,37948,
Beekdaelen,2017,194700,167800,75030,,56848,
Beemster,2017,130900,78100,16366,,24489,24740
Beesel,2017,93300,73000,24213,30260,29918,35906
Berg en Dal,2017,186700,186700,62087,,49214,97775
Bergeijk,2017,112300,112300,36031,38075,43042,58198
Bergen (L.),2017,123400,123100,24683,55432,32655,38887
Bergen (NH.),2017,150000,150000,63836,64648,44897,99390
Bergen op Zoom,2017,,,103981,,331947,190891
Berkelland,2017,320000,320000,81128,136331,108805,122002
Bernheze,2017,215800,151200,53706,49199,57371,78857
Best,2017,231600,171500,49709,48438,93761,105893
Beuningen,2017,216900,141300,43051,51452,47826,65232
Beverwijk,2017,214400,190800,62072,,62894,111653
Bladel,2017,145300,124200,35296,42523,54772,62706
Blaricum,2017,66300,47600,24926,21682,17903,36720
Bloemendaal,2017,111100,109900,51813,48250,38612,82249
Bodegraven-Reeuwijk,2017,294800,158800,55033,56431,70521,98344
Boekel,2017,68000,68000,18327,34063,24025,27836
Borger-Odoorn,2017,131100,129200,54116,54109,37700,76819
Borne,2017,113800,77600,37612,32255,27955,53804
Borsele,2017,,,35006,,235820,73071
Boxmeer,2017,301600,228700,51613,86039,99362,88416
Boxtel,2017,257800,175300,54608,63012,78557,95172
Breda,2017,1073000,830600,280902,290726,346232,547153
Brielle,2017,168200,163800,27798,96353,41695,43112
Bronckhorst,2017,290800,290800,72890,142407,73542,103709
Brummen,2017,401100,398100,37948,276859,84692,59698
Brunssum,2017,119400,118900,53097,,45292,
Bunnik,2017,128000,86600,25683,,33010,51064
Bunschoten,2017,145600,145400,33336,61422,61227,58581
Buren,2017,145500,138100,48441,42944,42145,70143
Capelle aan den IJssel,2017,236400,224100,93298,67174,95335,165734
Castricum,2017,146300,121300,60480,53228,38906,85253
Coevorden,2017,320700,277500,66628,109204,119241,115248
Cranendonck,2017,,,39440,62135,,61971
Cuijk,2017,263800,212200,41593,77667,102060,72299
Culemborg,2017,130800,100800,38893,36636,45656,73597
Dalfsen,2017,169500,167000,49445,53387,55997,71921
Dantumadiel,2017,74100,71500,32529,30282,20204,42871
De Bilt,2017,264000,206000,85048,,71090,149637
De Fryske Marren,2017,429800,339600,87915,,118517,
De Ronde Venen,2017,299700,230200,72786,82317,75253,115822
De Wolden,2017,206700,148400,47149,45382,64470,65780
Delft,2017,556700,502000,138387,205228,232306,308240
Den Haag,2017,1990600,1871000,765006,685048,851322,1494720
Den Helder,2017,319100,319100,90980,105017,146126,
Deurne,2017,220900,188000,58685,73706,67988,91859
Deventer,2017,600900,497300,151252,185691,216623,266369
Diemen,2017,162900,120000,38781,28576,64492,80827
Dinkelland,2017,174000,163200,53060,64053,51270,80685
Doesburg,2017,53200,53200,18561,16787,24127,27601
Doetinchem,2017,360100,324800,94537,132281,136934,171731
Dongen,2017,278700,277500,42237,158724,98000,64208
Dordrecht,2017,680700,573700,176132,188661,250523,338497
Drechterland,2017,106800,106600,32448,44181,33581,44230
Drimmelen,2017,205600,174000,46542,85672,52159,67251
Dronten,2017,276700,248800,60596,64431,86792,113853
Druten,2017,120600,109000,31034,37211,32873,46275
Duiven,2017,146200,108000,36182,21611,49997,68185
Echt-Susteren,2017,260400,181200,62608,,60942,95597
Edam-Volendam,2017,166000,158700,63607,,65417,
Ede,2017,717200,549900,185618,200007,231644,352686
Eemnes,2017,98200,37500,15113,,11873,23662
Eemsdelta,2017,,,87364,,639284,136645
Eersel,2017,144200,104600,35462,36695,40294,58048
Eijsden-Margraten,2017,,,50229,,52200,
Eindhoven,2017,,,362185,,592481,768451
Elburg,2017,131500,100000,36578,39800,35292,60801
Emmen,2017,,,198792,,258108,325514
Enkhuizen,2017,118000,118000,29023,45627,55902,51200
Enschede,2017,764800,725600,253333,261730,315853,461860
Epe,2017,240000,185100,62526,76578,68860,98510
Ermelo,2017,205200,181400,43836,,62226,88905
Etten-Leur,2017,,,70795,,146933,124605
Geertruidenberg,2017,184700,127800,34509,36545,69929,63144
Geldrop-Mierlo,2017,215900,167500,69213,69697,,105947
Gemert-Bakel,2017,174900,174900,52758,60148,69797,79427
Gennep,2017,145500,137700,30971,39115,70636,57232
