Gemeenten,Jaar,totaal_co2,totaal_co2_ext_weg,co2_woningen,Woningdichtheid
Aa en Hunze,2019,155400.0,129700.0,48714.0,41.0
Aalsmeer,2019,209500.0,209500.0,46440.0,651.0
Aalten,2019,120000.0,120000.0,43254.0,124.0
Achtkarspelen,2019,150800.0,150800.0,45473.0,119.0
Alblasserdam,2019,126300.0,112100.0,24825.0,948.0
Albrandswaard,2019,107700.0,102600.0,33935.0,477.0
Alkmaar,2019,487100.0,483700.0,151739.0,463.0
Almelo,2019,433900.0,384200.0,106956.0,498.0
Almere,2019,736200.0,610700.0,215018.0,651.0
Alphen aan den Rijn,2019,437100.0,404400.0,150812.0,378.0
Alphen-Chaam,2019,65100.0,65100.0,19105.0,47.0
Altena,2019,381500.0,293700.0,84176.0,111.0
Ameland,2019,31700.0,31700.0,7011.0,29.0
Amersfoort,2019,688000.0,516600.0,199687.0,1073.0
Amstelveen,2019,370500.0,331200.0,132170.0,1022.0
Amsterdam,2019,4246500.0,3960900.0,1053199.0,2668.0
Apeldoorn,2019,1082800.0,810700.0,249700.0,213.0
Arnhem,2019,861900.0,678600.0,217956.0,773.0
Assen,2019,308500.0,263600.0,100496.0,386.0
Asten,2019,242700.0,193700.0,27374.0,98.0
Baarle-Nassau,2019,60100.0,60100.0,12109.0,37.0
Baarn,2019,137400.0,100900.0,43030.0,358.0
Barendrecht,2019,,,60229.0,975.0
Barneveld,2019,439800.0,305900.0,83582.0,126.0
Beek,2019,123800.0,84400.0,28518.0,356.0
Beekdaelen,2019,179500.0,153100.0,68366.0,212.0
Beemster,2019,126700.0,75000.0,15806.0,56.0
Beesel,2019,85500.0,65500.0,22135.0,213.0
Berg en Dal,2019,175200.0,175200.0,57865.0,181.0
Bergeijk,2019,103200.0,103200.0,33095.0,78.0
Bergen (L.),2019,116100.0,115800.0,23242.0,55.0
Bergen (NH.),2019,140900.0,140900.0,59149.0,154.0
Bergen op Zoom,2019,924200.0,857200.0,96443.0,380.0
Berkelland,2019,290900.0,290900.0,74844.0,76.0
Bernheze,2019,206500.0,143000.0,50744.0,139.0
Best,2019,210100.0,151400.0,45898.0,365.0
Beuningen,2019,206600.0,132100.0,39993.0,254.0
Beverwijk,2019,201000.0,178100.0,57663.0,1048.0
Bladel,2019,134800.0,113700.0,32803.0,114.0
Blaricum,2019,65500.0,47300.0,26788.0,445.0
Bloemendaal,2019,106600.0,105400.0,48768.0,251.0
Bodegraven-Reeuwijk,2019,276000.0,142700.0,50614.0,191.0
Boekel,2019,64800.0,64800.0,17423.0,121.0
Borger-Odoorn,2019,127600.0,125800.0,50394.0,42.0
Borne,2019,106100.0,70500.0,33762.0,378.0
Borsele,2019,,,32862.0,69.0
Boxmeer,2019,276400.0,204600.0,47407.0,112.0
Boxtel,2019,235200.0,154500.0,50290.0,210.0
Breda,2019,997200.0,759000.0,262842.0,666.0
Brielle,2019,171300.0,167000.0,25866.0,289.0
Bronckhorst,2019,280000.0,280000.0,67131.0,57.0
Brummen,2019,386100.0,383100.0,35314.0,111.0
Brunssum,2019,111000.0,110400.0,48249.0,839.0
Bunnik,2019,119100.0,78700.0,23423.0,173.0
Bunschoten,2019,130400.0,130200.0,30750.0,277.0
Buren,2019,139000.0,131700.0,45345.0,79.0
Capelle aan den IJssel,2019,206600.0,194500.0,84586.0,2182.0
Castricum,2019,138600.0,114200.0,56593.0,322.0
Coevorden,2019,291300.0,248700.0,61958.0,52.0
Cranendonck,2019,502900.0,471300.0,36656.0,117.0
Cuijk,2019,235200.0,184400.0,39372.0,217.0
Culemborg,2019,126300.0,96800.0,37397.0,423.0
Dalfsen,2019,156000.0,153500.0,46842.0,71.0
Dantumadiel,2019,71100.0,68500.0,30654.0,96.0
De Bilt,2019,243100.0,186300.0,77059.0,296.0
De Fryske Marren,2019,423400.0,335000.0,83409.0,66.0
De Ronde Venen,2019,277600.0,209600.0,67453.0,183.0
De Wolden,2019,195300.0,137900.0,43610.0,46.0
Delft,2019,497300.0,444000.0,128350.0,2234.0
Den Haag,2019,1801100.0,1684200.0,730899.0,3144.0
Den Helder,2019,279000.0,278900.0,85275.0,620.0
Deurne,2019,207300.0,174500.0,54954.0,119.0
Deventer,2019,529600.0,427500.0,139864.0,347.0
Diemen,2019,152400.0,110400.0,37532.0,1151.0
Dinkelland,2019,159100.0,148500.0,46748.0,62.0
Doesburg,2019,48900.0,48900.0,17083.0,459.0
Doetinchem,2019,330200.0,295600.0,86652.0,328.0
Dongen,2019,261400.0,260300.0,40364.0,384.0
Dordrecht,2019,627500.0,522500.0,160579.0,700.0
Drechterland,2019,106100.0,105900.0,31024.0,141.0
Drimmelen,2019,200900.0,169900.0,43567.0,124.0
Dronten,2019,268200.0,240700.0,57357.0,51.0
Druten,2019,114900.0,103500.0,29088.0,214.0
Duiven,2019,133400.0,95900.0,32897.0,316.0
Echt-Susteren,2019,244200.0,166600.0,57127.0,141.0
Edam-Volendam,2019,154400.0,147300.0,59189.0,277.0
Ede,2019,661800.0,498200.0,167012.0,153.0
Eemnes,2019,96000.0,36600.0,14454.0,126.0
Eersel,2019,135500.0,96200.0,33392.0,100.0
Eijsden-Margraten,2019,,,46639.0,145.0
Eindhoven,2019,1350200.0,1192300.0,338459.0,1270.0
Elburg,2019,125300.0,94400.0,33918.0,145.0
Emmen,2019,725600.0,691300.0,182476.0,147.0
Enkhuizen,2019,108200.0,108200.0,26996.0,690.0
Enschede,2019,692500.0,654100.0,237480.0,530.0
Epe,2019,226100.0,172200.0,58407.0,92.0
Ermelo,2019,195600.0,172300.0,40313.0,128.0
Etten-Leur,2019,386900.0,341100.0,64726.0,343.0
Geertruidenberg,2019,211500.0,155600.0,31964.0,362.0
Geldrop-Mierlo,2019,204400.0,156400.0,63701.0,569.0
Gemert-Bakel,2019,161600.0,161600.0,49861.0,104.0
Gennep,2019,126800.0,119200.0,28600.0,156.0
Gilze en Rijen,2019,171200.0,128400.0,39350.0,172.0
Goeree-Overflakkee,2019,321700.0,291000.0,73100.0,83.0
Goes,2019,237300.0,182100.0,55059.0,197.0
Goirle,2019,86700.0,78200.0,37762.0,239.0
Gooise Meren,2019,371200.0,225500.0,104296.0,637.0
Gorinchem,2019,304000.0,238100.0,47331.0,882.0
