Jaar,Gemeenten,Woningdichtheid
2017,Aa en Hunze,40.0
2018,Aa en Hunze,40.0
2019,Aa en Hunze,41.0
2017,Aalburg,101.0
2018,Aalburg,101.0
2017,Aalsmeer,642.0
2018,Aalsmeer,641.0
2019,Aalsmeer,651.0
2017,Aalten,123.0
2018,Aalten,123.0
2019,Aalten,124.0
2017,Achtkarspelen,118.0
2018,Achtkarspelen,118.0
2019,Achtkarspelen,119.0
2017,Alblasserdam,939.0
2018,Alblasserdam,943.0
2019,Alblasserdam,948.0
2017,Albrandswaard,473.0
2018,Albrandswaard,476.0
2019,Albrandswaard,477.0
2017,Alkmaar,457.0
2018,Alkmaar,460.0
2019,Alkmaar,463.0
2017,Almelo,488.0
2018,Almelo,490.0
2019,Almelo,498.0
2017,Almere,624.0
2018,Almere,637.0
2019,Almere,651.0
2017,Alphen aan den Rijn,369.0
2018,Alphen aan den Rijn,373.0
2019,Alphen aan den Rijn,378.0
2017,Alphen-Chaam,46.0
2018,Alphen-Chaam,46.0
2019,Alphen-Chaam,47.0
2019,Altena,111.0
2017,Ameland,29.0
2018,Ameland,29.0
2019,Ameland,29.0
2017,Amersfoort,1052.0
2018,Amersfoort,1062.0
2019,Amersfoort,1073.0
2017,Amstelveen,1011.0
2018,Amstelveen,1016.0
2019,Amstelveen,1022.0
2017,Amsterdam,2589.0
2018,Amsterdam,2615.0
2019,Amsterdam,2668.0
2017,Apeldoorn,209.0
2018,Apeldoorn,210.0
2019,Apeldoorn,213.0
2017,Appingedam,248.0
2018,Appingedam,249.0
2019,Appingedam,254.0
2017,Arnhem,752.0
2018,Arnhem,761.0
2019,Arnhem,773.0
2017,Assen,379.0
2018,Assen,384.0
2019,Assen,386.0
2017,Asten,96.0
2018,Asten,97.0
2019,Asten,98.0
2017,Baarle-Nassau,36.0
2018,Baarle-Nassau,37.0
2019,Baarle-Nassau,37.0
2017,Baarn,359.0
2018,Baarn,355.0
2019,Baarn,358.0
2017,Barendrecht,964.0
2018,Barendrecht,972.0
2019,Barendrecht,975.0
2017,Barneveld,121.0
2018,Barneveld,125.0
2019,Barneveld,126.0
2017,Bedum,103.0
2018,Bedum,104.0
2017,Beek (L.),352.0
2018,Beek (L.),353.0
2019,Beek (L.),356.0
2019,Beekdaelen,212.0
2017,Beemster,54.0
2018,Beemster,54.0
2019,Beemster,56.0
2017,Beesel,210.0
2018,Beesel,212.0
2019,Beesel,213.0
2017,Bellingwedde,38.0
2017,Berg en Dal,178.0
2018,Berg en Dal,180.0
2019,Berg en Dal,181.0
2017,Bergeijk,77.0
2018,Bergeijk,77.0
2019,Bergeijk,78.0
2017,Bergen (L.),55.0
2018,Bergen (L.),55.0
2019,Bergen (L.),55.0
2017,Bergen (NH.),154.0
2018,Bergen (NH.),153.0
2019,Bergen (NH.),154.0
2017,Bergen op Zoom,374.0
2018,Bergen op Zoom,376.0
2019,Bergen op Zoom,380.0
2017,Berkelland,75.0
2018,Berkelland,76.0
2019,Berkelland,76.0
2017,Bernheze,134.0
2018,Bernheze,137.0
2019,Bernheze,139.0
2017,Best,359.0
2018,Best,360.0
2019,Best,365.0
2017,Beuningen,248.0
2018,Beuningen,253.0
2019,Beuningen,254.0
2017,Beverwijk,1043.0
2018,Beverwijk,1043.0
2019,Beverwijk,1048.0
2017,het Bildt,51.0
2017,De Bilt,293.0
2018,De Bilt,294.0
2019,De Bilt,296.0
2017,Binnenmaas,184.0
2018,Binnenmaas,185.0
2017,Bladel,113.0
2018,Bladel,114.0
2019,Bladel,114.0
2017,Blaricum,416.0
2018,Blaricum,438.0
2019,Blaricum,445.0
